id;river_km_id;datetime;water_perc;ice_perc;other_perc;cloud_perc;nd_perc;qc;source
1;335056;2022-01-02T11:36:14;0;0;0;83;17;0;Sentinel-1 Sentinel-2
2;335056;2022-01-05T17:52:05;79;5;0;0;16;2;Sentinel-1 Sentinel-2
3;335056;2022-01-07T17:35:56;4;0;1;80;15;0;Sentinel-1 Sentinel-2
4;335056;2022-01-10T18:00:16;75;10;0;0;15;2;Sentinel-1
5;335056;2022-01-12T17:44:02;80;1;0;0;19;2;Sentinel-1 Sentinel-2
6;335056;2022-01-17T17:52:05;82;3;0;0;15;2;Sentinel-1 Sentinel-2
7;335056;2022-01-20T18:16:26;0;0;0;84;16;0;Sentinel-1 Sentinel-2
8;335056;2022-01-22T18:00:14;82;3;0;0;15;2;Sentinel-1 Sentinel-2
9;335056;2022-01-24T17:44:02;74;0;0;0;26;2;Sentinel-1 Sentinel-2
10;335056;2022-01-27T18:08:10;0;0;0;84;16;0;Sentinel-1 Sentinel-2
11;335056;2022-01-29T17:52:04;33;52;0;0;15;2;Sentinel-1 Sentinel-2
12;335056;2022-02-03T18:00:14;80;5;0;0;15;2;Sentinel-1 Sentinel-2
13;335056;2022-02-04T11:46:08;0;0;0;84;16;0;Sentinel-2
14;335056;2022-02-05T06:31:02;84;0;0;0;16;2;Sentinel-1
15;335056;2022-02-06T11:36:06;0;0;0;85;15;0;Sentinel-2
16;335056;2022-02-09T11:46:03;0;0;0;84;16;0;Sentinel-2
17;335056;2022-02-10T17:52:04;80;1;0;0;19;2;Sentinel-1 Sentinel-2
18;335056;2022-02-11T11:35:59;0;0;0;81;19;0;Sentinel-2
19;335056;2022-02-14T11:46:09;0;0;0;87;13;0;Sentinel-2
20;335056;2022-02-15T18:00:14;79;10;0;0;11;2;Sentinel-1 Sentinel-2
21;335056;2022-02-17T17:44:01;84;0;0;0;16;2;Sentinel-1 Sentinel-2
22;335056;2022-02-19T11:46:03;0;81;0;0;19;0;Sentinel-1 Sentinel-2
23;335056;2022-02-21T11:36:14;63;0;14;0;23;0;Sentinel-2
24;335056;2022-02-22T17:52:04;56;20;0;0;24;2;Sentinel-1 Sentinel-2
25;335056;2022-02-27T18:00:14;85;0;0;0;15;2;Sentinel-1
26;335056;2022-03-01T17:43:36;84;0;0;0;16;2;Sentinel-1 Sentinel-2
27;335056;2022-03-06T17:52:04;75;10;0;0;15;2;Sentinel-1 Sentinel-2
28;335056;2022-03-08T11:36:05;69;0;14;0;17;0;Sentinel-1 Sentinel-2
29;335056;2022-03-11T18:00:14;74;12;0;0;14;2;Sentinel-1 Sentinel-2
30;335056;2022-03-13T17:44:01;81;3;0;0;16;2;Sentinel-1 Sentinel-2
31;335056;2022-03-16T18:08:09;0;0;0;76;24;0;Sentinel-1 Sentinel-2
32;335056;2022-03-18T17:52:04;76;0;0;0;24;2;Sentinel-1 Sentinel-2
33;335056;2022-03-21T18:16:01;82;0;6;0;12;0;Sentinel-1 Sentinel-2
34;335056;2022-03-23T18:00:14;82;0;3;0;15;0;Sentinel-1 Sentinel-2
35;335056;2022-03-25T17:44:01;89;0;0;0;11;2;Sentinel-1 Sentinel-2
36;335056;2022-03-26T11:46:11;0;0;0;85;15;0;Sentinel-2
37;335056;2022-03-28T18:08:10;72;0;12;0;16;0;Sentinel-1 Sentinel-2
38;335056;2022-03-30T17:52:04;85;0;0;0;15;2;Sentinel-1 Sentinel-2
39;335056;2022-03-31T11:46:04;0;0;0;84;16;0;Sentinel-2
40;335056;2022-04-02T18:16:26;0;0;0;84;16;0;Sentinel-1 Sentinel-2
41;335056;2022-04-04T18:00:14;73;12;0;0;15;2;Sentinel-1
42;335056;2022-04-06T11:15:51;84;0;0;0;16;2;Sentinel-1 Sentinel-2
43;335056;2022-04-07T11:35:17;0;0;0;76;24;0;Sentinel-2
44;335056;2022-04-10T11:45:11;0;0;0;85;15;0;Sentinel-2
45;335056;2022-04-11T06:39:16;74;3;0;0;23;2;Sentinel-1
46;335056;2022-04-11T17:52:04;69;4;0;0;27;2;Sentinel-1 Sentinel-2
47;335056;2022-04-12T11:35:27;0;0;0;84;16;0;Sentinel-2
48;335056;2022-04-16T18:00:14;79;6;0;0;15;2;Sentinel-1
49;335056;2022-04-18T17:44:02;76;0;0;0;24;2;Sentinel-1 Sentinel-2
