id;river_km_id;datetime;water_perc;ice_perc;other_perc;cloud_perc;nd_perc;qc;source
1;117263;2019-01-01T07:42:12;98;2;0;0;0;2;Sentinel-1
2;117263;2019-01-02T07:33:09;98;2;0;0;0;2;Sentinel-1
3;117263;2019-01-03T18:43:05;99;1;0;0;0;2;Sentinel-1
4;117263;2019-01-04T18:34:18;99;1;0;0;0;2;Sentinel-1
5;117263;2019-01-07T07:41:19;98;2;0;0;0;2;Sentinel-1
6;117263;2019-01-08T07:34:02;98;1;0;0;1;2;Sentinel-1
7;117263;2019-01-10T18:35:00;92;8;0;0;0;2;Sentinel-1
8;117263;2019-01-13T07:42:12;98;2;0;0;0;2;Sentinel-1
9;117263;2019-01-14T07:33:09;99;1;0;0;0;2;Sentinel-1
10;117263;2019-01-15T18:43:05;98;1;0;0;1;2;Sentinel-1
11;117263;2019-01-16T18:34:18;99;1;0;0;0;2;Sentinel-1
12;117263;2019-01-19T07:41:19;98;2;0;0;0;2;Sentinel-1
13;117263;2019-01-20T07:34:02;98;1;0;0;1;2;Sentinel-1
14;117263;2019-01-22T18:34:58;97;2;0;0;1;2;Sentinel-1
15;117263;2019-01-25T07:42:12;97;2;0;0;1;2;Sentinel-1
16;117263;2019-01-26T18:50:36;98;1;0;0;1;2;Sentinel-1 Sentinel-2
17;117263;2019-01-27T18:43:05;98;2;0;0;0;2;Sentinel-1
18;117263;2019-01-28T18:34:17;98;2;0;0;0;2;Sentinel-1 Sentinel-2
19;117263;2019-01-31T18:58:41;98;2;0;0;0;2;Sentinel-1 Sentinel-2
20;117263;2019-02-01T18:51:17;98;2;0;0;0;2;Sentinel-1 Sentinel-2
21;117263;2019-02-03T12:43:51;0;47;5;48;0;1;Sentinel-2
22;117263;2019-02-06T18:59:24;94;5;0;0;1;2;Sentinel-1 Sentinel-2
23;117263;2019-02-08T18:43:05;66;26;8;0;0;2;Sentinel-1 Sentinel-2
24;117263;2019-02-09T18:34:17;65;31;3;0;1;2;Sentinel-1 Sentinel-2
25;117263;2019-02-11T12:54:06;0;0;0;99;1;0;Sentinel-2
26;117263;2019-02-12T18:58:41;98;2;0;0;0;2;Sentinel-1 Sentinel-2
27;117263;2019-02-13T18:51:16;82;18;0;0;0;2;Sentinel-1 Sentinel-2
